"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2024","175.340","175.200","176.420","174.980","","0.40%"
"01/17/2024","174.640","173.930","175.770","173.635","","0.56%"
"01/16/2024","173.660","175.200","175.390","173.730","","-0.55%"
"01/15/2024","174.620","174.725","175.720","172.515","","0.30%"
"01/12/2024","174.090","174.205","175.250","173.945","","0.13%"
"01/11/2024","173.870","173.590","175.275","173.375","","0.50%"
"01/10/2024","173.010","172.995","174.190","172.680","","0.35%"
"01/09/2024","172.400","173.040","173.700","172.265","","-0.03%"
"01/08/2024","172.450","172.400","173.475","172.135","","0.40%"
"01/05/2024","171.770","172.415","173.245","171.310","","-0.02%"
"01/04/2024","171.810","171.300","172.855","171.210","","0.53%"
"01/03/2024","170.910","172.285","172.725","170.845","","-0.49%"
"01/02/2024","171.760","173.395","173.710","171.955","","-0.62%"
"01/01/2024","172.840","173.390","173.445","173.265","","0.08%"
"12/29/2023","172.710","173.660","174.040","172.630","","-0.21%"
"12/28/2023","173.070","173.825","174.800","172.990","","-0.08%"
"12/27/2023","173.210","172.270","174.080","170.980","","0.88%"
"12/26/2023","171.700","171.755","172.310","171.725","","0.32%"
"12/25/2023","171.160","171.865","171.945","171.500","","-0.03%"
"12/22/2023","171.210","171.535","172.375","169.975","","0.15%"
"12/21/2023","170.950","168.600","171.590","168.500","","1.48%"
"12/20/2023","168.450","168.990","169.150","168.425","","-0.25%"
"12/19/2023","168.870","168.125","169.115","167.830","","0.53%"
"12/18/2023","167.980","167.690","168.235","167.250","","0.32%"
"12/15/2023","167.440","168.650","168.960","167.465","","-0.62%"
"12/14/2023","168.490","166.810","168.885","166.775","","1.09%"
"12/13/2023","166.680","165.565","167.170","165.200","","0.75%"
"12/12/2023","165.440","165.105","166.120","165.035","","0.27%"
"12/11/2023","165.000","164.980","165.300","164.765","","0.08%"
"12/08/2023","164.860","165.540","165.640","164.490","","-0.32%"
"12/07/2023","165.390","165.140","165.895","164.875","","0.28%"
"12/06/2023","164.930","165.555","165.695","164.980","","-0.30%"
"12/05/2023","165.430","166.115","166.330","165.270","","-0.35%"
"12/04/2023","166.010","166.840","166.975","165.620","","-0.39%"
"12/01/2023","166.660","166.860","167.250","165.950","","-0.02%"
"11/30/2023","166.700","168.080","168.305","166.710","","-0.73%"
"11/29/2023","167.920","168.285","168.685","167.845","","-0.14%"
"11/28/2023","168.150","167.600","168.555","167.045","","0.41%"
"11/27/2023","167.470","167.120","167.665","166.955","","0.26%"
"11/24/2023","167.040","166.680","167.305","166.480","","0.29%"
"11/23/2023","166.560","166.365","166.980","166.280","","0.19%"
"11/22/2023","166.240","166.500","166.710","165.810","","-0.07%"
"11/21/2023","166.360","166.780","167.295","166.325","","-0.17%"
"11/20/2023","166.640","166.310","166.970","166.065","","0.32%"
"11/17/2023","166.110","165.275","166.375","164.730","","0.59%"
"11/16/2023","165.140","164.980","165.955","164.720","","0.17%"
"11/15/2023","164.860","165.360","165.685","164.740","","-0.24%"
"11/14/2023","165.250","162.250","165.505","162.170","","1.94%"
"11/13/2023","162.100","162.025","162.360","161.730","","0.14%"
"11/10/2023","161.870","161.615","162.380","161.490","","0.24%"
"11/09/2023","161.480","162.210","162.630","161.490","","-0.38%"
"11/08/2023","162.100","162.035","162.360","161.310","","0.10%"
"11/07/2023","161.930","162.150","162.255","161.340","","-0.07%"
"11/06/2023","162.040","162.220","162.860","162.110","","-0.05%"
"11/03/2023","162.120","160.245","162.500","160.120","","1.26%"
"11/02/2023","160.100","159.485","161.190","159.445","","0.46%"
"11/01/2023","159.370","159.195","159.605","158.695","","0.16%"
"10/31/2023","159.120","159.875","160.880","158.910","","-0.38%"
"10/30/2023","159.730","158.915","160.025","158.560","","0.60%"
"10/27/2023","158.780","158.685","159.500","158.395","","0.11%"
"10/26/2023","158.610","158.765","158.830","158.180","","0.04%"
"10/25/2023","158.550","159.075","159.325","158.680","","-0.24%"
"10/24/2023","158.930","160.145","160.630","158.940","","-0.68%"
"10/23/2023","160.020","158.695","160.285","158.380","","0.91%"
"10/20/2023","158.580","158.505","158.855","158.250","","0.11%"
"10/19/2023","158.400","157.920","159.050","157.610","","0.37%"
"10/18/2023","157.810","158.255","158.570","157.730","","-0.21%"
"10/17/2023","158.150","157.670","158.560","157.325","","0.39%"
"10/16/2023","157.530","156.865","157.715","156.865","","0.47%"
"10/13/2023","156.790","157.015","157.600","156.690","","-0.06%"
"10/12/2023","156.890","158.265","158.650","156.990","","-0.76%"
"10/11/2023","158.090","157.905","158.520","157.635","","0.20%"
"10/10/2023","157.770","157.345","158.140","157.150","","0.36%"
"10/09/2023","157.210","157.175","157.430","156.580","","-0.13%"
"10/06/2023","157.410","156.875","157.735","155.980","","0.43%"
"10/05/2023","156.740","156.215","156.915","156.030","","0.46%"
"10/04/2023","156.020","155.480","156.530","155.000","","0.46%"
"10/03/2023","155.300","155.435","155.750","155.085","","-0.01%"
"10/02/2023","155.310","156.615","157.085","155.420","","-0.79%"
"09/29/2023","156.540","156.480","157.360","156.355","","0.17%"
"09/28/2023","156.270","155.385","156.680","155.155","","0.66%"
"09/27/2023","155.240","156.210","156.395","155.165","","-0.56%"
"09/26/2023","156.120","156.455","156.860","156.035","","-0.12%"
"09/25/2023","156.310","157.055","157.240","156.175","","-0.38%"
