"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2019","132.955","133.401","133.767","132.840","185.89K","-0.34%"
"03/26/2019","133.411","133.259","133.855","132.870","176.17K","0.03%"
"03/25/2019","133.366","132.929","133.749","132.582","140.16K","0.29%"
"03/22/2019","132.974","132.139","133.105","131.721","196.14K","0.64%"
"03/21/2019","132.134","133.280","133.618","131.085","192.45K","-0.87%"
"03/20/2019","133.290","133.818","134.100","132.699","189.72K","-0.39%"
"03/19/2019","133.818","133.427","134.293","133.261","175.44K","0.29%"
"03/18/2019","133.437","133.207","133.692","132.692","136.94K","0.12%"
"03/15/2019","133.277","132.685","133.348","132.284","199.66K","0.45%"
"03/14/2019","132.680","133.672","133.687","132.330","218.85K","-0.73%"
"03/13/2019","133.657","131.077","134.113","130.916","191.65K","1.98%"
"03/12/2019","131.067","131.050","132.467","130.175","214.69K","0.00%"
"03/11/2019","131.065","129.659","131.259","128.962","174.33K","1.09%"
"03/08/2019","129.654","130.458","131.000","129.375","171.71K","-0.62%"
"03/07/2019","130.457","131.700","132.102","130.288","169.69K","-0.94%"
"03/06/2019","131.700","131.861","131.881","131.272","186.27K","-0.11%"
"03/05/2019","131.846","131.836","132.062","131.035","175.92K","-0.08%"
"03/04/2019","131.951","132.441","132.811","131.721","160.57K","-0.12%"
"03/01/2019","132.106","132.554","132.943","131.781","196.08K","-0.35%"
"02/28/2019","132.564","133.167","133.445","132.459","196.70K","-0.45%"
"02/27/2019","133.157","132.765","133.572","132.457","193.62K","0.29%"
"02/26/2019","132.775","131.152","133.028","131.152","179.45K","1.18%"
"02/25/2019","131.232","130.871","131.412","130.535","151.77K","0.43%"
"02/22/2019","130.666","130.646","130.946","129.805","162.40K","-0.03%"
"02/21/2019","130.711","130.836","131.282","130.460","187.85K","-0.09%"
"02/20/2019","130.831","130.947","131.428","130.338","180.93K","-0.10%"
"02/19/2019","130.967","129.419","131.072","129.109","153.74K","1.18%"
"02/18/2019","129.434","129.044","129.654","129.039","136.89K","0.31%"
"02/15/2019","129.029","128.271","129.119","128.018","170.74K","0.51%"
"02/14/2019","128.371","128.678","129.176","127.740","160.40K","-0.24%"
"02/13/2019","128.678","129.252","129.854","128.663","164.29K","-0.44%"
"02/12/2019","129.242","129.367","129.696","128.692","174.48K","-0.03%"
"02/11/2019","129.281","130.008","130.120","129.216","133.69K","-0.55%"
"02/08/2019","129.998","129.814","130.583","129.509","158.65K","0.15%"
"02/07/2019","129.804","129.400","130.230","128.728","169.42K","0.31%"
"02/06/2019","129.405","129.625","129.935","129.320","188.01K","-0.13%"
"02/05/2019","129.569","130.490","130.957","129.369","173.65K","-0.72%"
"02/04/2019","130.505","131.373","131.590","130.415","135.45K","-0.62%"
"02/01/2019","131.323","132.144","132.204","130.947","166.80K","-0.62%"
"01/31/2019","132.144","132.340","132.638","131.740","176.81K","-0.15%"
"01/30/2019","132.346","131.836","132.648","131.610","185.33K","0.37%"
"01/29/2019","131.861","132.562","133.219","131.740","182.58K","-0.51%"
"01/28/2019","132.531","132.930","133.280","132.269","156.12K","-0.34%"
"01/25/2019","132.985","132.479","133.442","131.610","189.52K","0.37%"
"01/24/2019","132.489","132.405","132.990","131.399","177.54K","0.05%"
"01/23/2019","132.420","131.594","132.547","131.431","180.29K","0.64%"
"01/22/2019","131.578","130.968","131.776","130.607","179.68K","0.45%"
"01/21/2019","130.988","131.020","131.249","130.348","167.18K","0.04%"
"01/18/2019","130.939","132.128","132.284","130.746","174.31K","-0.91%"
"01/17/2019","132.138","131.110","132.295","130.507","188.45K","0.80%"
"01/16/2019","131.085","130.925","131.259","130.519","","0.13%"
"01/15/2019","130.915","130.940","131.495","128.981","","-0.04%"
"01/14/2019","130.966","130.793","131.633","130.255","","0.16%"
"01/11/2019","130.754","129.680","130.922","129.256","","0.90%"
"01/10/2019","129.594","130.138","130.499","129.497","","-0.41%"
"01/09/2019","130.128","129.650","130.296","129.507","","0.35%"
